CMDLINE /home/dzhavid/deep_python_autumn_2023/venv/bin/python3 profile_task8.py
MEM 0.761719 1700145734.6464
MEM 21.406250 1700145734.7468
MEM 31.132812 1700145734.8471
MEM 39.714844 1700145734.9474
MEM 54.773438 1700145735.0478
MEM 67.406250 1700145735.1481
MEM 78.492188 1700145735.2485
MEM 89.578125 1700145735.3489
MEM 99.890625 1700145735.4492
MEM 103.757812 1700145735.5496
MEM 122.125000 1700145735.6500
MEM 124.445312 1700145735.7504
MEM 144.253906 1700145735.8508
MEM 144.253906 1700145735.9512
MEM 165.789062 1700145736.0516
MEM 171.843750 1700145736.1520
MEM 171.843750 1700145736.2524
MEM 201.972656 1700145736.3527
MEM 206.355469 1700145736.4531
MEM 206.355469 1700145736.5535
MEM 225.472656 1700145736.6538
MEM 249.359375 1700145736.7542
MEM 249.359375 1700145736.8546
MEM 249.359375 1700145736.9550
MEM 266.734375 1700145737.0554
MEM 303.453125 1700145737.1558
MEM 303.453125 1700145737.2562
MEM 303.453125 1700145737.3566
MEM 303.453125 1700145737.4570
MEM 317.632812 1700145737.5574
MEM 354.750000 1700145737.6577
MEM 370.277344 1700145737.7582
MEM 370.277344 1700145737.8586
MEM 370.277344 1700145737.9590
MEM 370.277344 1700145738.0593
MEM 370.277344 1700145738.1597
MEM 401.574219 1700145738.2601
MEM 444.113281 1700145738.3604
MEM 455.457031 1700145738.4608
MEM 455.457031 1700145738.5612
MEM 455.457031 1700145738.6616
MEM 455.457031 1700145738.7621
MEM 455.457031 1700145738.8625
MEM 455.457031 1700145738.9629
MEM 493.871094 1700145739.0632
MEM 536.890625 1700145739.1635
MEM 566.578125 1700145739.2640
MEM 566.578125 1700145739.3643
MEM 566.578125 1700145739.4647
MEM 566.578125 1700145739.5651
MEM 566.578125 1700145739.6656
MEM 566.578125 1700145739.7661
MEM 566.578125 1700145739.8665
MEM 594.359375 1700145739.9668
MEM 639.835938 1700145740.0671
MEM 683.160156 1700145740.1674
MEM 705.589844 1700145740.2679
MEM 705.589844 1700145740.3682
MEM 705.589844 1700145740.4686
MEM 705.589844 1700145740.5690
MEM 705.589844 1700145740.6694
MEM 705.589844 1700145740.7698
MEM 705.589844 1700145740.8702
MEM 705.589844 1700145740.9707
MEM 714.074219 1700145741.0711
MEM 735.214844 1700145741.1715
MEM 772.613281 1700145741.2718
MEM 797.105469 1700145741.3720
MEM 820.093750 1700145741.4724
MEM 832.007812 1700145741.5728
MEM 832.007812 1700145741.6733
MEM 832.007812 1700145741.7738
MEM 832.007812 1700145741.8743
MEM 832.007812 1700145741.9749
MEM 832.007812 1700145742.0753
MEM 832.007812 1700145742.1757
MEM 832.007812 1700145742.2761
MEM 832.007812 1700145742.3764
MEM 832.007812 1700145742.4768
MEM 832.007812 1700145742.5772
MEM 834.585938 1700145742.6776
MEM 853.148438 1700145742.7780
MEM 871.000000 1700145742.8783
MEM 890.523438 1700145742.9786
MEM 910.167969 1700145743.0790
MEM 929.371094 1700145743.1794
MEM 951.710938 1700145743.2797
MEM 956.351562 1700145743.3801
MEM 956.351562 1700145743.4805
MEM 956.351562 1700145743.5809
MEM 956.351562 1700145743.6814
MEM 956.351562 1700145743.7818
MEM 956.351562 1700145743.8821
MEM 956.351562 1700145743.9825
MEM 956.351562 1700145744.0830
MEM 956.351562 1700145744.1834
MEM 956.351562 1700145744.2838
MEM 956.351562 1700145744.3842
MEM 959.445312 1700145744.4846
MEM 980.296875 1700145744.5849
MEM 1001.761719 1700145744.6855
MEM 1003.050781 1700145744.7859
MEM 1003.050781 1700145744.8863
MEM 1003.050781 1700145744.9866
MEM 1003.050781 1700145745.0869
MEM 1003.050781 1700145745.1872
MEM 1003.050781 1700145745.2875
MEM 1003.050781 1700145745.3878
MEM 1003.050781 1700145745.4881
MEM 1003.050781 1700145745.5884
MEM 1003.050781 1700145745.6887
MEM 1003.050781 1700145745.7891
MEM 1003.308594 1700145745.8895
MEM 1003.308594 1700145745.9898
MEM 1003.308594 1700145746.0902
MEM 1003.308594 1700145746.1905
MEM 1003.308594 1700145746.2910
MEM 1003.308594 1700145746.3914
MEM 1003.308594 1700145746.4918
MEM 1003.308594 1700145746.5921
MEM 1003.308594 1700145746.6924
MEM 1003.308594 1700145746.7929
MEM 1003.308594 1700145746.8932
MEM 1003.308594 1700145746.9938
MEM 1003.308594 1700145747.0942
MEM 1003.308594 1700145747.1945
MEM 1003.308594 1700145747.2952
MEM 1003.824219 1700145747.3955
MEM 1027.542969 1700145747.4958
MEM 1054.355469 1700145747.5960
MEM 1078.847656 1700145747.6963
MEM 1105.660156 1700145747.7966
MEM 1128.082031 1700145747.8969
MEM 1154.121094 1700145747.9972
MEM 921.804688 1700145748.0975
MEM 668.847656 1700145748.1979
MEM 406.234375 1700145748.2982
MEM 145.046875 1700145748.3986
